,All_values,Return_to_pred
448,0001010101010,2.0
449,0010110101010,1.0
450,0101001101010,0.0
451,0111010011010,2.0
452,1001010100110,2.0
453,0001010101001,2.0
454,0011010101010,4.0
455,0101010101010,1.0
456,0111010101010,2.0
457,1000110101010,3.0
458,0000101101010,1.0
459,0011001011010,2.0
460,0101010010110,0.0
461,0111010100101,2.0
462,1001010101001,3.0
463,0001010101010,4.0
464,0011010101010,1.0
465,0100110101010,4.0
466,0111001101010,2.0
467,1000110011010,0.0
468,0001001100110,2.0
469,0011010011001,2.0
470,0101010100110,2.0
471,1001010101001,1.0
472,0001010101010,2.0
473,0011010101010,2.0
474,0101010101010,2.0
475,0111010101010,4.0
476,1001010101010,0.0
477,0000110101010,1.0
478,0011001101010,1.0
479,0101010011010,3.0
480,0111010100110,3.0
481,1001010101001,1.0
482,0001010101010,1.0
483,0011010101010,2.0
484,0101010101010,0.0
485,0110110101010,1.0
486,1001001101010,3.0
487,0001010011010,2.0
488,0011010100110,1.0
489,0101010101001,3.0
490,0111010101010,4.0
491,1000110101010,2.0
492,0000101101010,2.0
493,0101001011010,1.0
494,0111010010110,2.0
495,1001010100101,2.0
496,0001010101001,1.0
497,0101010101010,2.0
498,0111010101010,0.0
499,1001010101010,3.0
500,0001010101010,1.0
501,0010110101010,1.0
502,0101001101010,3.0
503,0111010011010,1.0
504,1001010100110,0.0
505,0001010101001,3.0
506,0011010101010,2.0
507,0100110101010,1.0
508,0111001101010,0.0
509,1001010011010,4.0
510,0011010100110,4.0
511,0100110101001,4.0
512,0110101101010,0.0
513,1000101011010,2.0
514,0001001010110,3.0
515,0011010010101,2.0
516,0101010100101,1.0
517,0111010101001,2.0
518,1001010101010,2.0
519,0001010101010,2.0
520,0011010101010,1.0
521,0101010101010,4.0
522,0111010101010,2.0
523,1000110101010,2.0
524,0001001101010,2.0
525,0011010011010,2.0
526,0100110100110,2.0
527,0111001101001,3.0
528,1001010011010,1.0
529,0010110100110,4.0
530,0101001101001,0.0
531,0110110011010,3.0
532,1001001100110,3.0
533,0001010011001,3.0
534,0011010100110,3.0
535,0100110101001,1.0
536,0111001101010,1.0
537,1001010011010,1.0
538,0001010100110,3.0
539,0011010101001,3.0
540,0100110101010,1.0
541,0111001101010,2.0
542,1001010011010,3.0
543,0001010100110,2.0
544,0010110101001,3.0
545,0101001101010,2.0
546,0110110011010,1.0
547,1000101100110,2.0
548,0001001011001,3.0
549,0010110010110,2.0
550,0101001100101,4.0
551,0111010011001,2.0
552,0000110100110,2.0
553,0011001101001,2.0
554,0101010011010,0.0
555,0111010100110,2.0
556,1001010101001,1.0
557,0001010101010,4.0
558,0011010101010,4.0
559,0101010101010,2.0
560,0111010101010,2.0
561,1001010101010,2.0
562,0001010101010,2.0
563,0011010101010,2.0
564,0101010101010,1.0
565,0111010101010,2.0
566,1001010101010,2.0
567,0001010101010,3.0
568,0011010101010,2.0
569,0101010101010,2.0
570,0111010101010,3.0
571,1001010101010,1.0
572,0001010101010,0.0
573,0011010101010,4.0
574,0101010101010,4.0
575,0111010101010,2.0
576,1000110101010,2.0
577,0000101101010,2.0
578,0011001011010,1.0
579,0101010010110,2.0
580,0111010100101,1.0
581,1001010101001,2.0
582,0001010101010,0.0
583,0011010101010,1.0
584,0100110101010,2.0
585,0111001101010,4.0
586,1001010011010,2.0
587,0000110100110,3.0
588,0011001101001,2.0
589,0101010011010,0.0
590,0111010100110,2.0
591,1001010101001,2.0
592,0001010101010,1.0
593,0010110101010,1.0
594,0101001101010,3.0
595,0111010011010,0.0
596,1001010100110,2.0
597,0011010101001,2.0
598,0101010101010,2.0
599,0111010101010,2.0
600,1001010101010,2.0
601,0001010101010,2.0
602,0011010101010,4.0
603,0101010101010,2.0
604,0110110101010,2.0
605,1001001101010,1.0
606,0001010011010,4.0
607,0011010100110,1.0
608,0100110101001,2.0
609,0111001101010,2.0
610,1001010011010,4.0
611,0001010100110,2.0
612,0011010101001,2.0
613,0101010101010,4.0
614,0111010101010,4.0
615,1000110101010,0.0
616,0000101101010,2.0
617,0011001011010,3.0
618,0101010010110,0.0
619,0110110100101,0.0
620,1001001101001,1.0
621,0001010011010,1.0
622,0011010100110,2.0
623,0101010101001,2.0
624,0111010101010,4.0
625,0001010101010,2.0
626,0011010101010,2.0
627,0101010101010,2.0
628,0111010101010,2.0
629,1001010101010,2.0
630,0001010101010,4.0
631,0011010101010,2.0
632,0100110101010,3.0
633,0111001101010,4.0
634,1000110011010,2.0
635,0001001100110,2.0
636,0011010011001,4.0
637,0101010100110,2.0
638,0111010101001,4.0
639,1001010101010,0.0
640,0001010101010,2.0
641,0011010101010,2.0
642,0101010101010,2.0
643,0111010101010,2.0
644,1001010101010,1.0
645,0001010101010,3.0
646,0011010101010,2.0
647,0100110101010,1.0
648,0110101101010,3.0
649,1001001011010,4.0
650,0000110010110,2.0
651,0010101100101,1.0
652,0101001011001,2.0
653,0111010010110,2.0
654,1001010100101,2.0
655,0001010101001,2.0
656,0011010101010,3.0
657,0101010101010,1.0
658,0110110101010,2.0
659,1001001101010,1.0
660,0001010011010,2.0
661,0010110100110,3.0
662,0101001101001,3.0
663,0110110011010,2.0
664,1000101100110,1.0
665,0011001011001,4.0
666,0101010010110,1.0
667,0110110100101,1.0
668,1001001101001,4.0
669,0001010011010,2.0
670,0011010100110,2.0
671,0101010101001,2.0
672,0111010101010,1.0
673,1001010101010,0.0
674,0001010101010,2.0
675,0011010101010,0.0
676,0101010101010,4.0
677,0111010101010,3.0
678,1001010101010,0.0
679,0001010101010,1.0
680,0011010101010,2.0
681,0100110101010,2.0
682,0111001101010,3.0
683,1001010011010,0.0
684,0000110100110,3.0
685,0011001101001,4.0
686,0101010011010,2.0
687,0110110100110,0.0
688,1001001101001,0.0
689,0001010011010,2.0
690,0011010100110,1.0
691,0101010101001,0.0
692,0110110101010,0.0
693,1001001101010,4.0
694,0001010011010,0.0
695,0010110100110,1.0
696,0101001101001,2.0
697,0111010011010,4.0
698,1001010100110,1.0
699,0000110101001,2.0
700,0011001101010,2.0
701,0101010011010,3.0
702,0111010100110,2.0
703,1000110101001,2.0
704,0000101101010,0.0
705,0010101011010,4.0
706,0100101010110,4.0
707,0110101010101,4.0
708,1000101010101,2.0
709,0000101010101,0.0
710,0011001010101,2.0
711,0101010010101,0.0
712,0111010100101,4.0
713,1001010101001,2.0
714,0001010101010,1.0
715,0011010101010,0.0
716,0100110101010,4.0
717,0111001101010,1.0
718,1000110011010,2.0
719,0001001100110,2.0
720,0011010011001,2.0
721,0101010100110,1.0
722,0111010101001,0.0
723,1001010101010,4.0
724,0001010101010,2.0
725,0010110101010,4.0
726,0101001101010,2.0
727,1000110011010,0.0
728,0001001100110,1.0
729,0011010011001,1.0
730,0101010100110,3.0
731,0111010101001,4.0
732,1001010101010,1.0
733,0000110101010,0.0
734,0011001101010,4.0
735,0101010011010,0.0
736,0110110100110,2.0
737,1001001101001,1.0
738,0001010011010,4.0
739,0011010100110,3.0
740,0100110101001,2.0
741,0110101101010,2.0
742,1001001011010,4.0
743,0001010010110,3.0
744,0011010100101,1.0
745,0101010101001,2.0
746,1001010101010,0.0
747,0001010101010,3.0
748,0011010101010,3.0
749,0101010101010,1.0
750,1000110101010,3.0
751,0001001101010,4.0
752,0011010011010,0.0
753,0100110100110,1.0
754,0111001101001,3.0
755,1001010011010,2.0
756,0001010100110,2.0
757,0011010101001,2.0
758,0101010101010,4.0
759,0111010101010,1.0
760,1001010101010,0.0
761,0011010101010,2.0
762,0101010101010,2.0
763,0111010101010,2.0
764,1001010101010,2.0
765,0001010101010,0.0
766,0011010101010,2.0
767,0101010101010,0.0
768,0110110101010,0.0
769,1001001101010,1.0
770,0001010011010,4.0
771,0011010100110,2.0
772,0101010101001,4.0
773,0111010101010,4.0
774,1000110101010,2.0
775,0000101101010,0.0
776,0010101011010,3.0
777,0101001010110,2.0
778,0111010010101,2.0
779,1000110100101,4.0
780,0011001101001,2.0
781,0101010011010,2.0
782,0111010100110,2.0
783,1001010101001,0.0
784,0001010101010,2.0
785,0011010101010,3.0
786,0101010101010,1.0
787,0110110101010,2.0
788,1001001101010,2.0
789,0001010011010,1.0
790,0011010100110,2.0
791,0101010101001,3.0
792,0111010101010,0.0
793,1000110101010,2.0
794,0001001101010,3.0
795,0011010011010,3.0
796,0101010100110,3.0
797,0111010101001,2.0
798,1001010101010,2.0
799,0001010101010,2.0
800,0011010101010,3.0
801,0101010101010,2.0
802,0111010101010,0.0
803,1001010101010,2.0
804,0001010101010,1.0
805,0011010101010,1.0
806,0101010101010,4.0
807,0111010101010,3.0
808,1000110101010,4.0
809,0001001101010,3.0
810,0010110011010,0.0
811,0101001100110,4.0
812,0111010011001,2.0
813,1001010100110,2.0
814,0001010101001,1.0
815,0011010101010,4.0
816,0101010101010,4.0
817,0111010101010,2.0
818,0001010101010,0.0
819,0011010101010,4.0
820,0101010101010,2.0
821,0110110101010,2.0
822,1001001101010,0.0
823,0001010011010,3.0
824,0011010100110,4.0
825,0101010101001,0.0
826,0110110101010,2.0
827,1001001101010,3.0
828,0001010011010,4.0
829,0011010100110,4.0
830,0100110101001,3.0
831,0110101101010,0.0
832,1000001011010,2.0
833,0001000010110,3.0
834,0011010000101,0.0
835,0101010100001,1.0
836,0111010101000,2.0
837,1001010101010,2.0
838,0001010101010,0.0
839,0011010101010,0.0
840,0101010101010,2.0
841,0111010101010,3.0
842,1001010101010,3.0
843,0001010101010,2.0
844,0011010101010,1.0
845,0101010101010,0.0
846,0111010101010,1.0
847,1001010101010,4.0
848,0011010101010,1.0
849,0100110101010,1.0
850,0111001101010,4.0
851,1001010011010,3.0
852,0000110100110,3.0
853,0011001101001,2.0
854,0101010011010,2.0
855,0111010100110,2.0
856,1001010101001,2.0
857,0001010101010,2.0
858,0011010101010,1.0
859,0101010101010,1.0
860,0111010101010,2.0
861,1001010101010,1.0
862,0001010101010,0.0
863,0011010101010,4.0
864,0101010101010,2.0
865,0110110101010,2.0
866,1001001101010,2.0
867,0001010011010,2.0
868,0011010100110,2.0
869,0101010101001,1.0
870,0111010101010,0.0
871,1001010101010,2.0
872,0001010101010,3.0
873,0011010101010,1.0
874,0101010101010,2.0
875,0111010101010,1.0
876,0001010101010,2.0
877,0011010101010,2.0
878,0101010101010,2.0
879,0111010101010,2.0
880,1001010101010,3.0
881,0001010101010,3.0
882,0011010101010,4.0
883,0101010101010,2.0
884,0111010101010,4.0
885,1001010101010,3.0
886,0001010101010,1.0
887,0011010101010,0.0
888,0101010101010,2.0
889,0111010101010,2.0
890,1001010101010,2.0
891,0001010101010,2.0
892,0011010101010,2.0
893,0101010101010,2.0
894,0111010101010,2.0
895,1001010101010,2.0
896,0001010101010,3.0
897,0011010101010,2.0
898,0101010101010,3.0
899,0111010101010,3.0
900,1001010101010,2.0
901,0001010101010,2.0
902,0011010101010,1.0
903,0101010101010,1.0
904,0111010101010,1.0
905,1001010101010,0.0
906,0001010101010,2.0
907,0011010101010,3.0
908,0101010101010,2.0
909,0111010101010,3.0
910,1001010101010,2.0
911,0001010101010,2.0
912,0011010101010,2.0
913,0101010101010,1.0
914,0110110101010,2.0
915,1001001101010,0.0
916,0001010011010,2.0
917,0011010100110,1.0
918,0101010101001,2.0
919,0111010101010,3.0
920,1001010101010,2.0
921,0010110101010,2.0
922,0101001101010,1.0
923,0111010011010,2.0
924,1001010100110,2.0
925,0001010101001,2.0
926,0011010101010,2.0
927,0101010101010,3.0
928,0111010101010,3.0
929,1001010101010,4.0
930,0001010101010,1.0
931,0010110101010,0.0
932,0101001101010,1.0
933,0111010011010,2.0
934,1000110100110,2.0
935,0001001101001,3.0
936,0011010011010,2.0
937,0101010100110,1.0
938,0111010101001,2.0
939,1000110101010,2.0
940,0001001101010,2.0
941,0011010011010,2.0
942,0101010100110,3.0
943,0110110101001,3.0
944,1001001101010,1.0
945,0001010011010,2.0
946,0011010100110,2.0
947,0101010101001,2.0
948,0111010101010,2.0
949,1001010101010,4.0
950,0001010101010,1.0
951,0010110101010,2.0
952,0101001101010,0.0
953,0111010011010,1.0
954,1001010100110,2.0
955,0001010101001,1.0
956,0011010101010,0.0
957,0101010101010,3.0
958,0111010101010,1.0
959,1000110101010,3.0
960,0001001101010,3.0
961,0011010011010,3.0
962,0100110100110,3.0
963,0110101101001,2.0
964,1001001011010,3.0
965,0001010010110,2.0
966,0010110100101,2.0
967,0101001101001,2.0
968,0111010011010,3.0
969,1001010100110,1.0
970,0001010101001,3.0
971,0011010101010,2.0
972,0100110101010,0.0
973,0111001101010,2.0
974,1001010011010,2.0
975,0001010100110,3.0
976,0011010101001,2.0
977,0100110101010,0.0
978,1001001101010,2.0
979,0001010011010,3.0
980,0011010100110,2.0
981,0101010101001,3.0
982,0111010101010,2.0
983,1001010101010,3.0
984,0001010101010,3.0
985,0011010101010,2.0
986,0101010101010,3.0
987,0110110101010,3.0
988,1001001101010,2.0
989,0001010011010,1.0
990,0011010100110,4.0
991,0101010101001,1.0
992,0111010101010,2.0
993,1001010101010,4.0
994,0001010101010,2.0
995,0010110101010,1.0
996,0100101101010,2.0
997,0111001011010,2.0
998,0001010010110,1.0
999,0011010100101,2.0
1000,0101010101001,1.0
1001,0111010101010,1.0
1002,0001010101010,2.0
1003,0011010101010,2.0
1004,0101010101010,2.0
1005,0111010101010,2.0
1006,1001010101010,3.0
1007,0001010101010,2.0
1008,0010110101010,2.0
1009,0101001101010,3.0
1010,0110110011010,1.0
1011,1001001100110,3.0
1012,0011010011001,1.0
1013,0101010100110,1.0
1014,0111010101001,3.0
1015,1001010101010,2.0
1016,0001010101010,2.0
1017,0011010101010,1.0
1018,0101010101010,2.0
1019,0111010101010,3.0
1020,1001010101010,2.0
1021,0001010101010,4.0
1022,0011010101010,2.0
1023,0100110101010,0.0
1024,0111001101010,1.0
1025,1001010011010,3.0
1026,0001010100110,3.0
1027,0010110101001,2.0
1028,0101001101010,3.0
1029,0111010011010,3.0
1030,1000110100110,3.0
