,All_values,Return_to_pred
1690,0110110100110,1.0
1691,1001001101001,0.0
1692,0001010011010,3.0
1693,0011010100110,3.0
1694,0100110101001,1.0
1695,0110101101010,2.0
1696,1001001011010,4.0
1697,0001010010110,4.0
1698,0010110100101,3.0
1699,0100101101001,3.0
1700,0110101011010,3.0
1701,1000101010110,3.0
1702,0000101010101,4.0
1703,0010101010101,1.0
1704,0101001010101,0.0
1705,0111010010101,4.0
1706,1001010100101,0.0
1707,0000110101001,3.0
1708,0011001101010,2.0
1709,0100110011010,0.0
1710,0110101100110,0.0
1711,1001001011001,2.0
1712,0001010010110,4.0
1713,0010110100101,2.0
1714,0100101101001,0.0
1715,0110101011010,2.0
1716,1001001010110,1.0
1717,0001010010101,4.0
1718,0011010100101,1.0
1719,0100110101001,1.0
1720,0111001101010,0.0
1721,1001010011010,1.0
1722,0001010100110,0.0
1723,0011010101001,1.0
1724,0101010101010,1.0
1725,0111010101010,0.0
1726,1001010101010,4.0
1727,0001010101010,4.0
1728,0010110101010,2.0
1729,0100101101010,1.0
1730,0110101011010,0.0
1731,1000101010110,0.0
1732,0001001010101,0.0
1733,0011010010101,4.0
1734,0101010100101,3.0
1735,1000110101001,0.0
1736,0000101101010,2.0
1737,0011001011010,4.0
1738,0101010010110,0.0
1739,0110110100101,4.0
1740,1001001101001,0.0
1741,0000110011010,1.0
1742,0011001100110,0.0
1743,0100110011001,1.0
1744,0111001100110,4.0
1745,1001010011001,3.0
1746,0000110100110,0.0
1747,0010101101001,0.0
1748,0101001011010,3.0
1749,0111010010110,2.0
1750,1000110100101,0.0
1751,0001001101001,2.0
1752,0011010011010,4.0
1753,0101010100110,2.0
1754,0110110101001,2.0
1755,1000101101010,4.0
1756,0001001011010,1.0
1757,0100110010110,0.0
1758,0111001100101,0.0
1759,1001010011001,2.0
1760,0001010100110,0.0
1761,0101010101001,0.0
1762,0111010101010,1.0
1763,1001010101010,1.0
1764,0001010101010,0.0
1765,0011010101010,1.0
1766,0101010101010,4.0
1767,0111010101010,0.0
1768,1000110101010,3.0
1769,0001001101010,4.0
1770,0011010011010,2.0
1771,0100110100110,2.0
1772,0110101101001,4.0
1773,1001001011010,0.0
1774,0010110010110,4.0
1775,0101001100101,0.0
1776,0110110011001,1.0
1777,1000101100110,4.0
1778,0001001011001,1.0
1779,0010110010110,3.0
1780,0101001100101,4.0
1781,0110110011001,4.0
1782,1000101100110,0.0
1783,0000101011001,2.0
1784,0011001010110,4.0
1785,0100110010101,2.0
1786,0110101100101,1.0
1787,1001001011001,2.0
1788,0001010010110,1.0
1789,0011010100101,3.0
1790,0101010101001,0.0
1791,0110110101010,3.0
1792,1001001101010,0.0
1793,0010110011010,3.0
1794,0101001100110,1.0
1795,0110110011001,0.0
1796,1001001100110,3.0
1797,0001010011001,3.0
1798,0010110100110,2.0
1799,0100101101001,0.0
1800,0110101011010,0.0
1801,1001001010110,0.0
1802,0001010010101,4.0
1803,0011010100101,3.0
1804,0100110101001,0.0
1805,0110101101010,0.0
1806,1001001011010,0.0
1807,0001010010110,0.0
1808,0011010100101,0.0
1809,0101010101001,1.0
1810,0111010101010,0.0
1811,1001010101010,0.0
1812,0001010101010,4.0
1813,0011010101010,4.0
1814,0100110101010,4.0
1815,0110101101010,4.0
1816,0000101011010,2.0
1817,0010101010110,0.0
1818,0101001010101,0.0
1819,0111010010101,4.0
1820,1001010100101,4.0
1821,0000110101001,4.0
1822,0010101101010,0.0
1823,0100101011010,2.0
1824,0111001010110,3.0
1825,1000110010101,3.0
1826,0000101100101,3.0
1827,0010101011001,0.0
1828,0100101010110,4.0
1829,0111001010101,0.0
1830,1000110010101,2.0
1831,0001001100101,0.0
1832,0011010011001,1.0
1833,0101010100110,1.0
1834,0111010101001,3.0
1835,1001010101010,1.0
1836,0001010101010,0.0
1837,0011010101010,0.0
1838,0101010101010,4.0
1839,0111010101010,3.0
1840,1000110101010,4.0
1841,0000101101010,4.0
1842,0010101011010,0.0
1843,0100101010110,4.0
1844,0111001010101,0.0
1845,1000110010101,0.0
1846,0001001100101,0.0
1847,0011010011001,0.0
1848,0101010100110,0.0
1849,0111010101001,2.0
1850,1001010101010,1.0
1851,0000110101010,2.0
1852,0011001101010,4.0
1853,0101010011010,4.0
1854,0110110100110,3.0
1855,1000101101001,0.0
1856,0000101011010,0.0
1857,0011001010110,0.0
1858,0101010010101,1.0
1859,0111010100101,0.0
1860,1001010101001,4.0
1861,0011010101010,0.0
1862,0100110101010,4.0
1863,0111001101010,0.0
1864,1000110011010,0.0
1865,0001001100110,4.0
1866,0011010011001,4.0
1867,0100110100110,4.0
1868,0110101101001,0.0
1869,1000101011010,0.0
1870,0000101010110,0.0
1871,0011001010101,0.0
1872,0101010010101,0.0
1873,0111010100101,4.0
1874,1001010101001,4.0
1875,0001010101010,4.0
1876,0010110101010,0.0
1877,0100101101010,4.0
1878,0111001011010,0.0
1879,1000110010110,0.0
1880,0001001100101,0.0
1881,0011010011001,4.0
1882,0101010100110,0.0
1883,0110110101001,2.0
1884,1000101101010,3.0
1885,0000101011010,0.0
1886,0010101010110,1.0
1887,0101001010101,3.0
1888,0111010010101,3.0
1889,0001010100101,4.0
1890,0011010101001,0.0
1891,0100110101010,0.0
1892,0111001101010,0.0
1893,1001010011010,0.0
1894,0001010100110,0.0
1895,0011010101001,4.0
1896,0100010101010,4.0
1897,0110100101010,4.0
1898,1000101001010,0.0
1899,0000101010010,4.0
1900,0011001010100,4.0
1901,0100110010101,0.0
1902,0110101100101,2.0
1903,1001001011001,0.0
1904,0001010010110,4.0
1905,0011010100101,2.0
1906,0100110101001,4.0
1907,0111001101010,3.0
1908,1000110011010,4.0
1909,0001001100110,4.0
1910,0010110011001,2.0
1911,0100101100110,3.0
1912,0110101011001,4.0
1913,1000101010110,4.0
1914,0000101010101,4.0
1915,0010101010101,1.0
1916,0100101010101,1.0
1917,0111001010101,3.0
1918,1001010010101,2.0
1919,0001010100101,0.0
1920,0010110101001,1.0
1921,0101001101010,0.0
1922,0110110011010,4.0
1923,1000101100110,1.0
1924,0000101011001,0.0
1925,0010101010110,0.0
1926,0101001010101,4.0
1927,0110110010101,4.0
1928,1000101100101,4.0
1929,0010101011001,0.0
1930,0101001010110,0.0
1931,0111010010101,4.0
1932,1001010100101,1.0
1933,0000110101001,0.0
1934,0011001101010,0.0
1935,0101010011010,4.0
1936,0111010100110,4.0
1937,1000110101001,2.0
1938,0000101101010,4.0
1939,0011001011010,0.0
1940,0100110010110,3.0
1941,0111001100101,2.0
1942,1000110011001,0.0
1943,0000101100110,3.0
1944,0011001011001,0.0
1945,0101010010110,2.0
1946,0111010100101,1.0
1947,1001010101001,0.0
1948,0000110101010,4.0
1949,0011001101010,4.0
1950,0100110011010,1.0
1951,0110101100110,0.0
1952,1001001011001,0.0
1953,0001010010110,0.0
1954,0011010100101,0.0
1955,0101010101001,0.0
1956,0111010101010,4.0
1957,1001010101010,4.0
1958,0000110101010,1.0
1959,0010101101010,0.0
1960,0101001011010,4.0
1961,0111010010110,4.0
1962,1000110100101,2.0
1963,0000101101001,4.0
1964,0010101011010,4.0
1965,0100101010110,0.0
1966,0110101010101,4.0
1967,1001001010101,0.0
1968,0000110010101,4.0
1969,0011001100101,1.0
1970,0100110011001,4.0
1971,0110101100110,4.0
1972,1000101011001,4.0
1973,0000101010110,0.0
1974,0010101010101,0.0
1975,0101001010101,0.0
1976,0111010010101,2.0
1977,1001010100101,0.0
1978,0001010101001,2.0
1979,0011010101010,0.0
1980,0101010101010,4.0
1981,0111010101010,0.0
1982,1000110101010,4.0
1983,0001001101010,1.0
1984,0010110011010,0.0
1985,0101001100110,0.0
1986,0111010011001,3.0
1987,1001010100110,4.0
1988,0001010101001,4.0
1989,0010110101010,2.0
