,All_values,Return_binary
302,0001001100110,1.0
303,0011010011001,1.0
304,0100110100110,1.0
305,0110101101001,0.0
306,1000101011010,0.0
307,0001001010110,1.0
308,0011010010101,0.0
309,0100110100101,0.0
310,1001001101001,1.0
311,0001010011010,1.0
312,0010110100110,1.0
